5AP02053,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2023/09/04
5AP02081,CUERO     ,QUINTAS PESADO                ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2023/12/11
4XM01924,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        64,                    ,2023/01/25
4XM01929,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,       159,                    ,2023/01/18
4XM01930,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        17,                    ,2023/01/16
4XM01931,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        93,                    ,2023/01/19
4XM01934,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,       121,                    ,2023/01/20
4XM01935,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,       139,                    ,2023/01/19
4XM01936,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        86,                    ,2023/01/20
4XM01939,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        96,                    ,2023/01/18
4XM01940,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,       134,                    ,2023/02/01
4XM01941,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        89,                    ,2023/01/20
4XM01948,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        87,                    ,2023/02/01
4XM01949,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,       115,                    ,2023/01/31
4XM01954,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        48,                    ,2023/02/15
4XM01957,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        43,                    ,2023/02/17
4XM01958,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,       111,                    ,2023/02/22
4XM01960,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        48,                    ,2023/02/21
4XM01962,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,       150,                    ,2023/02/25
4XM01990,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        61,                    ,2023/05/02
4XM01992,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,       168,                    ,2023/05/06
4XM01993,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        91,                    ,2023/05/09
4XM02002,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        80,                    ,2023/05/26
4XM02138,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2024/03/09
4XM02157,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,         2,                    ,2024/04/01
4XM02144,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        45,                    ,2024/04/05
4XM02159,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        44,                    ,2024/04/05
4XM02164,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,       169,                    ,2024/04/10
4XM02165,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        78,                    ,2024/04/11
4XM02162,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,        38,                    ,2024/04/08
4XM02170,CUERO     ,CUARTAS X MEDIANO             ,                              ,     ,REBAJADO       ,PRODUCCION          ,       104,                    ,2024/04/19
